,open,high,low,close,volume,date,coin,SMA20,SMA200,varianza
0,23429.0,23442.0,23324.0,23382.0,7491506.5375,2022-08-01 03:00:00+00:00,BTC/USD,,,118.0
1,23382.0,23423.0,23354.0,23397.0,6075858.5035,2022-08-01 04:00:00+00:00,BTC/USD,,,69.0
2,23397.0,23426.0,23288.0,23335.0,10348515.7886,2022-08-01 05:00:00+00:00,BTC/USD,,,138.0
3,23335.0,23353.0,23162.0,23243.0,14191294.4361,2022-08-01 06:00:00+00:00,BTC/USD,,,191.0
4,23246.0,23349.0,23122.0,23330.0,13741688.9014,2022-08-01 07:00:00+00:00,BTC/USD,,,227.0
5,23330.0,23384.0,23280.0,23295.0,7674704.3527,2022-08-01 08:00:00+00:00,BTC/USD,,,104.0
6,23295.0,23384.0,23271.0,23318.0,5502281.8906,2022-08-01 09:00:00+00:00,BTC/USD,,,113.0
7,23318.0,23323.0,22986.0,23045.0,29051251.9894,2022-08-01 10:00:00+00:00,BTC/USD,,,337.0
8,23045.0,23275.0,22940.0,23236.0,21346000.7415,2022-08-01 11:00:00+00:00,BTC/USD,,,335.0
9,23236.0,23329.0,23132.0,23148.0,14056078.7344,2022-08-01 12:00:00+00:00,BTC/USD,,,197.0
10,23148.0,23330.0,22967.0,23240.0,55714852.6374,2022-08-01 13:00:00+00:00,BTC/USD,,,363.0
11,23232.0,23509.0,23225.0,23446.0,43134866.0378,2022-08-01 14:00:00+00:00,BTC/USD,,,284.0
12,23446.0,23468.0,23291.0,23331.0,15982185.1012,2022-08-01 15:00:00+00:00,BTC/USD,,,177.0
13,23331.0,23360.0,23146.0,23204.0,25784387.4259,2022-08-01 16:00:00+00:00,BTC/USD,,,214.0
14,23204.0,23213.0,22889.0,22962.0,50173576.1356,2022-08-01 17:00:00+00:00,BTC/USD,,,324.0
15,22962.0,22996.0,22855.0,22958.0,21084661.9208,2022-08-01 18:00:00+00:00,BTC/USD,,,141.0
16,22958.0,23043.0,22882.0,22958.0,24276083.7884,2022-08-01 19:00:00+00:00,BTC/USD,,,161.0
17,22958.0,23133.0,22925.0,23129.0,18030436.4386,2022-08-01 20:00:00+00:00,BTC/USD,,,208.0
18,23131.0,23131.0,22991.0,23024.0,6616585.1021,2022-08-01 21:00:00+00:00,BTC/USD,,,140.0
19,23024.0,23207.0,22915.0,23175.0,23778668.2583,2022-08-01 22:00:00+00:00,BTC/USD,23208.0,,292.0
20,23176.0,23419.0,23174.0,23272.0,25692224.3156,2022-08-01 23:00:00+00:00,BTC/USD,23202.0,,245.0
21,23272.0,23448.0,23171.0,23191.0,20041182.0531,2022-08-02 00:00:00+00:00,BTC/USD,23192.0,,277.0
22,23191.0,23247.0,22957.0,23007.0,16265401.042,2022-08-02 01:00:00+00:00,BTC/USD,23176.0,,290.0
23,23007.0,23080.0,22826.0,22921.0,33228673.3436,2022-08-02 02:00:00+00:00,BTC/USD,23160.0,,254.0
24,22921.0,22930.0,22795.0,22859.0,18086999.9942,2022-08-02 03:00:00+00:00,BTC/USD,23136.0,,135.0
25,22859.0,22902.0,22755.0,22868.0,14962984.0537,2022-08-02 04:00:00+00:00,BTC/USD,23115.0,,147.0
26,22868.0,22909.0,22845.0,22861.0,6636761.9314,2022-08-02 05:00:00+00:00,BTC/USD,23092.0,,64.0
