,open,high,low,close,volume,date,coin,SMA20,SMA200,varianza
53,7.987,8.081,7.987,8.07,884920.8598,2022-08-03 08:00:00+00:00,DOT/USD,7.9601,,0.0058845624139225875
54,8.071,8.182,8.071,8.133,521243.2807,2022-08-03 09:00:00+00:00,DOT/USD,7.9753,,0.006876471317061123
55,8.133,8.185,8.116,8.134,601630.1062,2022-08-03 10:00:00+00:00,DOT/USD,7.979400000000001,,0.004241977130210306
56,8.134,8.178,8.103,8.155,353982.0961,2022-08-03 11:00:00+00:00,DOT/USD,7.9869,,0.0046102778460782555
57,8.155,8.291,8.153,8.22,802531.4556,2022-08-03 12:00:00+00:00,DOT/USD,7.988749999999999,,0.008461066830165537
58,8.22,8.261,8.178,8.222,444540.2563,2022-08-03 13:00:00+00:00,DOT/USD,7.9993,,0.005048661800486521
59,8.222,8.278,8.146,8.2,324928.5862,2022-08-03 14:00:00+00:00,DOT/USD,8.012,,0.008027243979566995
60,8.2,8.327,8.171,8.274,336140.5595,2022-08-03 15:00:00+00:00,DOT/USD,8.0292,,0.009512195121951256
61,8.274,8.395,8.254,8.351,471724.1616,2022-08-03 16:00:00+00:00,DOT/USD,8.04785,,0.008520667150108777
62,8.351,8.392,8.33,8.357,334375.6412,2022-08-03 17:00:00+00:00,DOT/USD,8.06485,,0.0037121302837983105
63,8.357,8.387,8.312,8.379,438335.0574,2022-08-03 18:00:00+00:00,DOT/USD,8.0837,,0.00448725619241361
64,8.379,8.41,8.327,8.378,390602.837,2022-08-03 19:00:00+00:00,DOT/USD,8.106449999999999,,0.004952858336316994
65,8.378,8.442,8.321,8.336,507709.9236,2022-08-03 20:00:00+00:00,DOT/USD,8.137,,0.007221293864884247
66,8.336,8.392,8.285,8.292,405208.9572,2022-08-03 21:00:00+00:00,DOT/USD,8.15835,,0.006417946257197655
67,8.292,8.303,8.094,8.113,588395.9395,2022-08-03 22:00:00+00:00,DOT/USD,8.17275,,0.012602508441871768
68,8.113,8.115,7.952,7.993,453767.8437,2022-08-03 23:00:00+00:00,DOT/USD,8.1767,,0.010045605817823263
69,7.993,8.148,7.974,8.135,432689.6645,2022-08-04 00:00:00+00:00,DOT/USD,8.186449999999999,,0.010884523958463623
70,8.135,8.247,8.134,8.187,343794.2686,2022-08-04 01:00:00+00:00,DOT/USD,8.19675,,0.0069452980946527075
71,8.187,8.221,8.143,8.198,109325.4707,2022-08-04 02:00:00+00:00,DOT/USD,8.2057,,0.004763649688530562
72,8.198,8.237,8.112,8.184,113326.775,2022-08-04 03:00:00+00:00,DOT/USD,8.21555,,0.0076238106855330565
73,8.184,8.256,8.175,8.236,217694.1384,2022-08-04 04:00:00+00:00,DOT/USD,8.22385,,0.00494868035190613
74,8.236,8.272,8.202,8.224,250402.9699,2022-08-04 05:00:00+00:00,DOT/USD,8.228399999999999,,0.0042496357455075445
75,8.224,8.253,7.954,8.119,599332.4722,2022-08-04 06:00:00+00:00,DOT/USD,8.22765,,0.018178501945525314
76,8.119,8.154,8.075,8.091,110098.9649,2022-08-04 07:00:00+00:00,DOT/USD,8.224450000000001,,0.004865131173789914
77,8.091,8.111,8.004,8.019,230770.6887,2022-08-04 08:00:00+00:00,DOT/USD,8.214400000000001,,0.00661228525522192
78,8.019,8.076,8.005,8.073,354112.279,2022-08-04 09:00:00+00:00,DOT/USD,8.20695,,0.004426985908467373
79,8.073,8.111,8.02,8.046,317585.1899,2022-08-04 10:00:00+00:00,DOT/USD,8.19925,,0.0056360708534622245
80,8.046,8.076,8.009,8.054,207696.1551,2022-08-04 11:00:00+00:00,DOT/USD,8.18825,,0.00416355953268706
81,8.054,8.085,7.975,8.05,298705.4053,2022-08-04 12:00:00+00:00,DOT/USD,8.1732,,0.0068289048919792155
82,8.05,8.24,8.029,8.179,493532.3235,2022-08-04 13:00:00+00:00,DOT/USD,8.1643,,0.01310559006211182
83,8.179,8.222,8.041,8.128,344028.2256,2022-08-04 14:00:00+00:00,DOT/USD,8.15175,,0.01106492236214691
84,8.128,8.155,8.084,8.14,309732.1383,2022-08-04 15:00:00+00:00,DOT/USD,8.139850000000001,,0.004367618110236204
85,8.142,8.205,7.881,7.922,313021.528,2022-08-04 16:00:00+00:00,DOT/USD,8.119150000000001,,0.019896831245394243
86,7.921,8.015,7.92,8.013,351421.8242,2022-08-04 17:00:00+00:00,DOT/USD,8.1052,,0.005996717586163404
87,8.013,8.071,7.914,7.99,284979.3001,2022-08-04 18:00:00+00:00,DOT/USD,8.09905,,0.009796580556595534
88,7.99,8.047,7.923,7.963,351997.5502,2022-08-04 19:00:00+00:00,DOT/USD,8.09755,,0.007759699624530698
89,7.963,8.036,7.963,8.02,255282.3918,2022-08-04 20:00:00+00:00,DOT/USD,8.091800000000001,,0.004583699610699455
90,8.02,8.054,7.97,7.974,140077.8018,2022-08-04 21:00:00+00:00,DOT/USD,8.08115,,0.005236907730673349
91,7.974,8.076,7.958,8.053,257806.8395,2022-08-04 22:00:00+00:00,DOT/USD,8.073899999999998,,0.007399046902432927
92,8.053,8.101,8.043,8.091,205858.8231,2022-08-04 23:00:00+00:00,DOT/USD,8.06925,,0.003601142431392127
93,8.088,8.175,8.071,8.125,350491.0086,2022-08-05 00:00:00+00:00,DOT/USD,8.0637,,0.00642927794263112
94,8.125,8.293,8.12,8.285,268977.8798,2022-08-05 01:00:00+00:00,DOT/USD,8.06675,,0.010646153846153849
95,8.285,8.364,8.273,8.311,237317.8891,2022-08-05 02:00:00+00:00,DOT/USD,8.076350000000001,,0.005491852745926438
96,8.311,8.416,8.302,8.385,173082.4963,2022-08-05 03:00:00+00:00,DOT/USD,8.09105,,0.006858380459631859
97,8.385,8.442,8.373,8.414,129599.7126,2022-08-05 04:00:00+00:00,DOT/USD,8.110800000000001,,0.004114490161001839
98,8.414,8.428,8.357,8.405,128760.0737,2022-08-05 05:00:00+00:00,DOT/USD,8.1274,,0.004219158545281763
99,8.405,8.517,8.405,8.457,532522.2254,2022-08-05 06:00:00+00:00,DOT/USD,8.14795,,0.006662700773349203
100,8.457,8.465,8.351,8.366,157336.8899,2022-08-05 07:00:00+00:00,DOT/USD,8.163549999999999,,0.006739978715856626
101,8.366,8.425,8.349,8.391,231197.9087,2022-08-05 08:00:00+00:00,DOT/USD,8.1806,,0.0045421945971790886
102,8.391,8.41,8.363,8.385,146664.8912,2022-08-05 09:00:00+00:00,DOT/USD,8.1909,,0.002800619711595793
103,8.385,8.444,8.354,8.402,96101.8102,2022-08-05 10:00:00+00:00,DOT/USD,8.2046,,0.005366726296958953
104,8.402,8.549,8.384,8.532,363282.481,2022-08-05 11:00:00+00:00,DOT/USD,8.2242,,0.009819090692692167
105,8.532,8.558,8.307,8.352,962911.4416,2022-08-05 12:00:00+00:00,DOT/USD,8.2457,,0.014709329582747272
106,8.352,8.394,8.264,8.371,371090.4627,2022-08-05 13:00:00+00:00,DOT/USD,8.2636,,0.007782567049808476
107,8.371,8.513,8.363,8.45,393103.6328,2022-08-05 14:00:00+00:00,DOT/USD,8.2866,,0.008959503046231056
108,8.45,8.462,8.353,8.373,305202.9235,2022-08-05 15:00:00+00:00,DOT/USD,8.3071,,0.006449704142011834
109,8.373,8.439,8.341,8.436,397111.8684,2022-08-05 16:00:00+00:00,DOT/USD,8.3279,,0.005852143795533307
110,8.436,8.58,8.435,8.526,471129.7159,2022-08-05 17:00:00+00:00,DOT/USD,8.355500000000001,,0.008594120436225674
111,8.526,8.681,8.472,8.495,968883.3062,2022-08-05 18:00:00+00:00,DOT/USD,8.377600000000001,,0.012256626788646472
112,8.495,8.578,8.485,8.516,337024.5757,2022-08-05 19:00:00+00:00,DOT/USD,8.39885,,0.005473808122424955
113,8.516,8.577,8.48,8.556,161651.0863,2022-08-05 20:00:00+00:00,DOT/USD,8.420399999999999,,0.005695162047909789
114,8.556,8.705,8.556,8.635,260269.2079,2022-08-05 21:00:00+00:00,DOT/USD,8.4379,,0.008707339878447927
115,8.635,8.795,8.634,8.767,427461.0011,2022-08-05 22:00:00+00:00,DOT/USD,8.4607,,0.00932252460914879
116,8.767,8.841,8.729,8.806,846005.8969,2022-08-05 23:00:00+00:00,DOT/USD,8.48175,,0.006387589825481927
117,8.806,8.832,8.634,8.649,806948.7826,2022-08-06 00:00:00+00:00,DOT/USD,8.4935,,0.01124233477174656
118,8.649,8.709,8.603,8.632,767268.3651,2022-08-06 01:00:00+00:00,DOT/USD,8.50485,,0.006127876055035258
119,8.632,8.716,8.622,8.707,488908.7019,2022-08-06 02:00:00+00:00,DOT/USD,8.517349999999999,,0.005444856348470773
120,8.709,8.716,8.624,8.642,440152.8018,2022-08-06 03:00:00+00:00,DOT/USD,8.53115,,0.0052818922953266016
121,8.642,8.672,8.624,8.654,644477.5231,2022-08-06 04:00:00+00:00,DOT/USD,8.5443,,0.0027771349224716526
122,8.654,8.771,8.644,8.73,587720.6833,2022-08-06 05:00:00+00:00,DOT/USD,8.56155,,0.007337647330714159
123,8.73,8.734,8.659,8.711,351477.7855,2022-08-06 06:00:00+00:00,DOT/USD,8.577000000000002,,0.004295532646048069
124,8.711,8.811,8.711,8.783,598658.0591,2022-08-06 07:00:00+00:00,DOT/USD,8.58955,,0.005739869130983793
125,8.783,8.88,8.707,8.711,753364.1968,2022-08-06 08:00:00+00:00,DOT/USD,8.6075,,0.00984857110326768
126,8.711,8.75,8.686,8.728,403143.642,2022-08-06 09:00:00+00:00,DOT/USD,8.62535,,0.003673516243829644
127,8.728,8.788,8.716,8.722,339356.0113,2022-08-06 10:00:00+00:00,DOT/USD,8.63895,,0.004124656278643501
128,8.722,8.749,8.656,8.687,370310.8996,2022-08-06 11:00:00+00:00,DOT/USD,8.65465,,0.0053313460215546876
129,8.687,8.714,8.642,8.666,444835.3621,2022-08-06 12:00:00+00:00,DOT/USD,8.66615,,0.004144123402785827
130,8.666,8.734,8.661,8.708,479566.1159,2022-08-06 13:00:00+00:00,DOT/USD,8.67525,,0.004211862450957789
131,8.708,8.749,8.683,8.73,469627.7101,2022-08-06 14:00:00+00:00,DOT/USD,8.687,,0.0037896187413872717
132,8.73,8.779,8.659,8.699,379582.1722,2022-08-06 15:00:00+00:00,DOT/USD,8.69615,,0.006872852233676931
133,8.699,8.734,8.643,8.644,442221.1964,2022-08-06 16:00:00+00:00,DOT/USD,8.70055,,0.005230486262788787
134,8.644,8.701,8.534,8.622,1142572.1482,2022-08-06 17:00:00+00:00,DOT/USD,8.6999,,0.009659879685330854
135,8.622,8.678,8.566,8.652,898364.7223,2022-08-06 18:00:00+00:00,DOT/USD,8.694149999999999,,0.0064950127580607805
136,8.652,8.659,8.571,8.618,401979.4636,2022-08-06 19:00:00+00:00,DOT/USD,8.684750000000001,,0.005085529357374074
137,8.618,8.629,8.56,8.602,323388.8447,2022-08-06 20:00:00+00:00,DOT/USD,8.6824,,0.004003249013692217
138,8.602,8.62,8.588,8.613,146602.8657,2022-08-06 21:00:00+00:00,DOT/USD,8.68145,,0.0018600325505696365
139,8.613,8.629,8.575,8.587,170801.3122,2022-08-06 22:00:00+00:00,DOT/USD,8.675450000000001,,0.00313479623824453
140,8.587,8.588,8.49,8.522,526641.3781,2022-08-06 23:00:00+00:00,DOT/USD,8.669450000000001,,0.005706300221264643
141,8.522,8.561,8.345,8.398,621982.4388,2022-08-07 00:00:00+00:00,DOT/USD,8.656649999999999,,0.012673081436282521
142,8.398,8.484,8.364,8.475,816149.6325,2022-08-07 01:00:00+00:00,DOT/USD,8.643899999999999,,0.007144558228149513
143,8.475,8.555,8.468,8.551,273875.7863,2022-08-07 02:00:00+00:00,DOT/USD,8.6359,,0.005132743362831844
144,8.551,8.573,8.513,8.526,380554.5901,2022-08-07 03:00:00+00:00,DOT/USD,8.623050000000001,,0.003508361595135101
145,8.526,8.566,8.483,8.486,586890.0781,2022-08-07 04:00:00+00:00,DOT/USD,8.611799999999999,,0.004867464227070149
146,8.486,8.503,8.419,8.441,818017.4205,2022-08-07 05:00:00+00:00,DOT/USD,8.59745,,0.004949328305444239
147,8.441,8.477,8.434,8.471,367782.2768,2022-08-07 06:00:00+00:00,DOT/USD,8.584900000000001,,0.0025470915768274513
148,8.471,8.491,8.449,8.481,351796.3675,2022-08-07 07:00:00+00:00,DOT/USD,8.5746,,0.002479046157478445
149,8.481,8.489,8.421,8.434,419119.4117,2022-08-07 08:00:00+00:00,DOT/USD,8.562999999999999,,0.0040089612074048694
